loan_id,document_status
LN-84461443,complete
LN-54255716,partial
LN-61798584,partial
LN-56788012,partial
LN-97184780,partial
LN-28902541,complete
LN-12277938,complete
LN-09904957,complete
LN-53680511,missing
LN-33114047,missing
LN-22698071,missing
LN-68954896,complete
LN-24848414,complete
LN-25922276,complete
LN-55362055,complete
LN-19394806,partial
LN-25341936,missing
LN-90469447,missing
LN-39587452,partial
LN-08658841,missing
LN-72950256,partial
LN-10667856,partial
LN-92532074,complete
LN-43182072,complete
LN-78464450,missing
LN-98934819,missing
LN-47728980,partial
LN-65830895,partial
LN-96448780,missing
LN-42743627,partial
LN-80799244,complete
LN-35374543,complete
LN-51327870,missing
LN-93049335,missing
LN-23829107,missing
LN-34094883,partial
LN-93550988,complete
LN-72129694,partial
LN-00658292,complete
LN-44756856,missing
LN-66028474,partial
,partial
LN-35153343,missing
LN-19730646,missing
LN-33266168,partial
LN-98567196,complete
LN-17114313,missing
LN-87803158,missing
LN-20114999,missing
LN-33629586,missing
LN-12551783,missing
LN-70800391,complete
LN-20121664,partial
LN-07493681,missing
LN-51379107,partial
LN-28379048,complete
LN-15288998,missing
LN-01457197,complete
LN-71736375,missing
LN-65003659,complete
LN-49023908,missing
LN-09190347,partial
LN-58187997,complete
LN-01360962,missing
LN-34813107,complete
LN-75780969,missing
LN-59426408,partial
LN-05337392,complete
LN-37280625,missing
LN-87281874,missing
LN-17442723,partial
LN-92184856,missing
LN-38015242,partial
LN-65714590,missing
LN-94835870,complete
LN-35738615,complete
LN-96817380,missing
LN-82153443,complete
LN-67580351,partial
LN-88226119,missing
LN-83614965,partial
LN-01839249,complete
LN-37420365,missing
LN-67509507,complete
LN-50320406,missing
LN-87671609,partial
LN-05354931,complete
LN-81150645,complete
LN-89137762,complete
LN-63924296,complete
LN-11016526,partial
LN-51266460,complete
LN-37783827,partial
LN-28709957,partial
LN-44334602,partial
LN-34581119,partial
LN-25135146,partial
LN-95521301,missing
LN-68716786,partial
,missing
LN-14999685,partial
LN-30058117,complete
LN-80172105,complete
LN-85161533,missing
LN-68336622,complete
LN-00172024,partial
LN-65470562,complete
LN-59786969,missing
LN-43090759,partial
LN-54679304,missing
LN-72092213,missing
LN-47679799,complete
LN-14785123,partial
LN-31148282,complete
LN-86824603,complete
LN-04271765,partial
LN-28742429,partial
LN-84115377,partial
LN-14331405,missing
LN-99705944,partial
LN-58316103,complete
LN-17558881,partial
LN-26834785,complete
LN-57843818,partial
LN-24633848,complete
LN-83779376,partial
LN-44881081,partial
LN-50215102,missing
LN-38891471,complete
LN-52974956,complete
LN-41706611,complete
LN-66921087,partial
LN-54312883,partial
LN-96129257,missing
LN-01548028,partial
LN-83843653,partial
LN-88689462,missing
LN-58052305,missing
LN-02370646,missing
LN-12415283,missing
LN-16779477,missing
LN-98289401,missing
LN-24055111,complete
LN-50601537,missing
LN-51773676,missing
LN-07379098,missing
LN-25496909,partial
LN-03885651,complete
LN-73739315,complete
LN-54616720,missing
LN-87787197,complete
LN-91175955,missing
LN-64171749,missing
LN-55864936,missing
LN-48716264,partial
LN-71804950,partial
LN-60071235,missing
LN-77222058,partial
LN-21120912,missing
LN-09123621,missing
LN-33586593,complete
LN-97207364,missing
LN-14211673,partial
LN-47964439,partial
LN-69449638,partial
LN-01600920,complete
LN-99263593,missing
LN-82878620,partial
LN-71957711,complete
LN-65590778,partial
LN-68272254,missing
LN-17208787,missing
LN-31474445,missing
LN-83204375,missing
LN-90780110,missing
LN-30132148,missing
LN-10913607,partial
LN-06730703,partial
LN-38114307,complete
LN-53410537,missing
LN-15712479,missing
LN-64150971,missing
LN-58089493,missing
LN-94138576,complete
LN-30650767,missing
LN-03921021,missing
,complete
,partial
LN-82530627,missing
LN-96495685,partial
LN-51193784,partial
LN-01667501,missing
LN-21950116,missing
LN-44384115,missing
LN-66070395,partial
LN-07602764,missing
LN-39841824,missing
LN-59338574,partial
LN-00903037,complete
LN-42562548,complete
LN-35143005,missing
LN-31926211,complete
LN-78072679,partial
LN-14995240,complete
LN-78612889,missing
LN-73610403,missing
LN-47806582,partial
LN-48843279,missing
LN-57892980,complete
LN-27526875,missing
LN-41118829,complete
LN-79754181,complete
LN-20557107,partial
LN-73305152,missing
LN-36684443,partial
LN-18845845,missing
LN-55336037,missing
LN-76815511,partial
LN-91036010,complete
LN-62029030,missing
LN-44632872,missing
LN-69073444,partial
LN-84484579,complete
LN-46891399,partial
LN-13375150,partial
LN-82923629,complete
LN-71995619,partial
LN-19794638,complete
LN-41013375,complete
LN-72671975,complete
LN-31066181,partial
LN-11572544,partial
LN-34732745,complete
LN-04671212,complete
LN-91796780,complete
LN-07294975,complete
LN-84948584,complete
LN-25361069,complete
LN-18915617,complete
LN-48845147,missing
LN-23682123,partial
LN-75777321,missing
LN-30838197,missing
LN-08721648,missing
LN-02157876,complete
LN-45922157,partial
LN-26972920,complete
LN-19858035,complete
LN-81853274,partial
LN-33494907,missing
LN-37479243,complete
LN-13429521,missing
LN-92424542,missing
LN-98995053,complete
LN-27143812,complete
LN-54019696,partial
LN-34588907,complete
LN-89273252,complete
LN-89072630,complete
LN-90682621,complete
LN-30753458,partial
LN-72075110,missing
LN-54108782,complete
LN-12202218,missing
LN-39845670,partial
LN-74343924,missing
LN-25127151,partial
LN-27384392,complete
LN-63411997,partial
LN-44583181,partial
LN-71329019,missing
LN-39753645,missing
LN-33851762,missing
LN-79485258,partial
LN-67866161,complete
LN-92068784,complete
LN-30475267,partial
LN-26033752,complete
LN-82473222,partial
LN-08376568,partial
LN-08346776,partial
LN-00764313,missing
LN-96054385,partial
LN-35165395,missing
LN-73687817,complete
LN-66970379,missing
LN-62792604,partial
LN-67840522,complete
LN-42223370,missing
LN-82751488,missing
LN-18205689,complete
LN-29024295,complete
LN-42422076,complete
LN-91670073,complete
LN-92591729,complete
LN-20213754,missing
LN-49312390,partial
LN-24245342,partial
LN-27686640,partial
,missing
LN-58907570,complete
LN-14061679,complete
LN-03213723,missing
LN-99306309,partial
LN-28342032,missing
LN-17304193,partial
LN-48478664,partial
LN-33927985,missing
LN-70350014,partial
LN-87001185,missing
LN-42156806,complete
LN-29468739,partial
LN-78388273,complete
LN-89988413,complete
LN-06588985,partial
LN-57074780,partial
LN-95707342,missing
LN-94803614,partial
LN-45923773,partial
LN-00297857,partial
LN-84651840,missing
LN-18907375,missing
LN-86824036,complete
LN-46187763,missing
LN-04335129,partial
LN-09169681,missing
LN-26673753,partial
LN-04697885,complete
LN-10339793,complete
LN-50115382,missing
LN-89183096,partial
LN-79727819,complete
LN-34387539,partial
LN-19645885,complete
LN-62122751,complete
LN-55483084,missing
LN-65122530,partial
LN-13624289,partial
LN-25159539,partial
LN-63929473,partial
LN-10670491,complete
LN-11462457,missing
LN-04435635,complete
LN-77644597,missing
LN-15899516,partial
LN-43927383,partial
LN-19603932,missing
LN-18231938,missing
LN-30524890,missing
LN-07801828,partial
LN-87047635,complete
,complete
LN-75152617,missing
LN-10023271,missing
LN-26692101,complete
LN-42495301,complete
LN-16644340,complete
LN-82453000,missing
LN-30075522,missing
LN-14016452,partial
LN-66264427,partial
LN-75085893,missing
LN-91565820,missing
LN-97889298,partial
LN-58041093,partial
LN-34519531,complete
LN-92091334,missing
LN-09189269,missing
LN-46187424,missing
LN-32379150,missing
LN-85984572,missing
LN-68029511,missing
LN-49527606,partial
LN-37340924,partial
LN-47255180,complete
LN-30729750,missing
LN-91704857,missing
LN-01769393,missing
LN-33631792,partial
LN-72115585,complete
LN-64603438,complete
LN-79847392,missing
LN-66208965,partial
LN-06204056,missing
LN-88893066,partial
LN-12945342,partial
LN-72820671,complete
LN-94241787,missing
LN-99861556,partial
LN-29059769,complete
LN-51486610,partial
LN-97430660,complete
LN-39295848,partial
LN-42364777,partial
LN-36351016,partial
LN-49825632,partial
LN-25800408,partial
LN-28013007,missing
LN-86351080,partial
LN-14285124,complete
LN-60616038,complete
LN-23261240,missing
LN-42372784,complete
LN-77759535,partial
LN-32632164,complete
LN-82494816,complete
LN-18729361,partial
LN-65533944,missing
