loan_id,row_index,expected_issue
(blank-row-698),698,missing_loan_id
LN-31103012,551,invalid_date_format
LN-61645032,263,maturity_before_origination
LN-99577677,585,negative_principal
LN-30838197,979,balance_exceeds_principal
LN-27232620,196,interest_rate_out_of_range
LN-54968789,134,status_dpd_mismatch
LN-98828513,708,missing_document_status
LN-39426882,644,stale_record
LN-96054385,1060,invalid_state_code
LN-68029511,380,closed_but_positive_balance
(blank-row-370),370,missing_loan_id
LN-86195857,135,invalid_date_format
LN-58508668,1141,maturity_before_origination
LN-36021322,231,negative_principal
LN-28901382,1158,balance_exceeds_principal
LN-17181582,682,interest_rate_out_of_range
LN-51302057,172,status_dpd_mismatch
LN-48065394,910,missing_document_status
LN-15901649,188,stale_record
LN-55260993,1236,invalid_state_code
LN-53542596,3,closed_but_positive_balance
(blank-row-923),923,missing_loan_id
LN-91803744,53,invalid_date_format
LN-05883588,890,maturity_before_origination
LN-54833670,934,negative_principal
LN-44583181,966,balance_exceeds_principal
LN-51266460,1337,interest_rate_out_of_range
LN-33586593,875,status_dpd_mismatch
LN-20213754,1366,missing_document_status
LN-46642971,1240,stale_record
LN-18789276,404,invalid_state_code
LN-01749321,239,closed_but_positive_balance
(blank-row-429),429,missing_loan_id
LN-79919556,199,invalid_date_format
LN-06420146,801,maturity_before_origination
LN-68954896,609,negative_principal
LN-15168849,640,balance_exceeds_principal
LN-49537502,499,interest_rate_out_of_range
LN-06405236,1133,status_dpd_mismatch
LN-12415283,402,missing_document_status
LN-63467538,395,stale_record
LN-59426408,819,invalid_state_code
LN-65533944,606,closed_but_positive_balance
(blank-row-330),330,missing_loan_id
LN-05691368,714,invalid_date_format
LN-61124920,660,maturity_before_origination
LN-08549238,16,negative_principal
LN-47855657,456,balance_exceeds_principal
LN-72972025,738,interest_rate_out_of_range
LN-19394806,501,status_dpd_mismatch
LN-17573454,497,missing_document_status
LN-51890831,1422,stale_record
LN-48843279,1483,invalid_state_code
LN-77075905,358,closed_but_positive_balance
(blank-row-181),181,missing_loan_id
LN-97184780,67,invalid_date_format
LN-91371166,205,maturity_before_origination
LN-93126599,328,negative_principal
LN-51327870,690,balance_exceeds_principal
LN-64846891,614,interest_rate_out_of_range
LN-65040037,1429,status_dpd_mismatch
LN-06004012,826,missing_document_status
LN-86859241,670,stale_record
LN-07393920,1220,invalid_state_code
LN-22611966,141,closed_but_positive_balance
(blank-row-598),598,missing_loan_id
LN-97395189,1186,invalid_date_format
LN-67840522,1205,maturity_before_origination
LN-37783454,1369,negative_principal
LN-41118829,1239,balance_exceeds_principal
LN-57880816,733,interest_rate_out_of_range
LN-24055111,1169,status_dpd_mismatch
LN-30196158,919,missing_document_status
LN-15899516,965,stale_record
LN-28355436,86,invalid_state_code
LN-33631792,476,closed_but_positive_balance
(blank-row-195),195,missing_loan_id
LN-30132148,1439,invalid_date_format
LN-80221792,983,maturity_before_origination
LN-74035654,877,negative_principal
LN-31887763,1091,balance_exceeds_principal
LN-28092292,1347,interest_rate_out_of_range
LN-09169681,1485,status_dpd_mismatch
LN-55483084,257,missing_document_status
LN-50530064,757,stale_record
LN-48845147,1130,invalid_state_code
LN-30481894,401,closed_but_positive_balance
(blank-row-382),382,missing_loan_id
LN-81827686,84,invalid_date_format
LN-77867461,137,maturity_before_origination
LN-83524302,544,negative_principal
LN-96145298,443,balance_exceeds_principal
LN-79744134,675,interest_rate_out_of_range
LN-50326581,627,status_dpd_mismatch
LN-70704032,759,missing_document_status
LN-66274153,795,stale_record
LN-41706611,811,invalid_state_code
LN-67580351,964,closed_but_positive_balance
(blank-row-1261),1261,missing_loan_id
LN-25647510,1045,invalid_date_format
LN-04720096,1055,maturity_before_origination
LN-78150043,1405,negative_principal
LN-69679044,471,balance_exceeds_principal
LN-85249215,894,interest_rate_out_of_range
LN-68863497,1025,status_dpd_mismatch
LN-92035675,887,missing_document_status
LN-73610403,481,stale_record
LN-78684637,858,invalid_state_code
LN-29097545,1295,closed_but_positive_balance
(blank-row-615),615,missing_loan_id
LN-87047635,1370,invalid_date_format
LN-55864936,638,maturity_before_origination
LN-90830075,1473,negative_principal
LN-04435635,633,balance_exceeds_principal
LN-88289867,1039,interest_rate_out_of_range
LN-71782026,62,status_dpd_mismatch
LN-40732489,1355,missing_document_status
LN-59034913,397,stale_record
LN-07379098,270,invalid_state_code
LN-79943434,844,closed_but_positive_balance
(blank-row-918),918,missing_loan_id
LN-44773352,1156,invalid_date_format
LN-72671975,285,maturity_before_origination
LN-10093148,1297,negative_principal
LN-84461443,55,balance_exceeds_principal
LN-06270755,772,interest_rate_out_of_range
LN-98564924,1453,status_dpd_mismatch
LN-09487469,47,missing_document_status
LN-09351424,562,stale_record
LN-19368882,287,invalid_state_code
LN-44334602,1188,closed_but_positive_balance
(blank-row-603),603,missing_loan_id
LN-92091334,300,invalid_date_format
LN-99705944,1248,maturity_before_origination
LN-28039777,156,negative_principal
LN-90538662,183,balance_exceeds_principal
LN-58904600,1257,interest_rate_out_of_range
LN-45851001,545,status_dpd_mismatch
LN-45178124,915,missing_document_status
LN-37870975,537,stale_record
LN-98403166,435,invalid_state_code
LN-13673827,1315,closed_but_positive_balance
(blank-row-1291),1291,missing_loan_id
LN-51486610,102,invalid_date_format
LN-75889261,882,maturity_before_origination
LN-78464450,1233,negative_principal
LN-26287134,1359,balance_exceeds_principal
LN-06377372,989,interest_rate_out_of_range
LN-86351080,1108,status_dpd_mismatch
LN-85755328,347,missing_document_status
LN-79626236,122,stale_record
LN-35022912,1179,invalid_state_code
LN-38526728,1185,closed_but_positive_balance
(blank-row-424),424,missing_loan_id
LN-67509507,1029,invalid_date_format
LN-24811570,275,maturity_before_origination
LN-85715129,243,negative_principal
LN-17995524,193,balance_exceeds_principal
LN-61368641,283,interest_rate_out_of_range
LN-10956489,37,status_dpd_mismatch
LN-50525075,441,missing_document_status
LN-71329019,1047,stale_record
LN-44089626,309,invalid_state_code
LN-20120001,1481,closed_but_positive_balance
(blank-row-1212),1212,missing_loan_id
LN-37773109,1259,invalid_date_format
LN-43274270,1034,maturity_before_origination
LN-32319269,393,negative_principal
LN-03407777,1203,balance_exceeds_principal
LN-84007225,83,interest_rate_out_of_range
LN-52974956,214,status_dpd_mismatch
LN-76448206,755,missing_document_status
LN-52206298,5,stale_record
LN-02404350,1364,invalid_state_code
LN-61798584,1387,closed_but_positive_balance
(blank-row-752),752,missing_loan_id
LN-84637805,1273,invalid_date_format
LN-29986437,715,maturity_before_origination
LN-21367476,610,negative_principal
LN-45922157,1003,balance_exceeds_principal
LN-62037364,872,interest_rate_out_of_range
LN-33629586,161,status_dpd_mismatch
LN-96987676,1144,missing_document_status
LN-73571714,124,stale_record
LN-03494730,1480,invalid_state_code
LN-92638223,1286,closed_but_positive_balance
(blank-row-1050),1050,missing_loan_id
LN-24633848,70,invalid_date_format
LN-03921021,486,maturity_before_origination
LN-78087613,78,negative_principal
LN-80304347,635,balance_exceeds_principal
LN-75925917,1489,interest_rate_out_of_range
LN-16644340,63,status_dpd_mismatch
LN-91810458,12,missing_document_status
LN-89609331,669,stale_record
LN-53861650,1397,invalid_state_code
LN-11016526,1427,closed_but_positive_balance
(blank-row-553),553,missing_loan_id
LN-01259003,860,invalid_date_format
LN-98995053,1066,maturity_before_origination
LN-69039728,34,negative_principal
LN-41656216,162,balance_exceeds_principal
LN-82240954,1435,interest_rate_out_of_range
LN-50940562,410,status_dpd_mismatch
LN-82980252,242,missing_document_status
LN-82530627,561,stale_record
LN-91656524,432,invalid_state_code
LN-82018120,492,closed_but_positive_balance
(blank-row-852),852,missing_loan_id
LN-58685702,1,invalid_date_format
LN-45529729,732,maturity_before_origination
LN-03490158,1010,negative_principal
LN-43564887,536,balance_exceeds_principal
LN-76446442,209,interest_rate_out_of_range
LN-29966991,220,status_dpd_mismatch
LN-08658841,245,missing_document_status
LN-96009710,704,stale_record
LN-16083313,1176,invalid_state_code
LN-58187997,680,closed_but_positive_balance
(blank-row-1268),1268,missing_loan_id
LN-54541294,1293,invalid_date_format
LN-63162671,1342,maturity_before_origination
LN-72820671,1324,negative_principal
LN-72439828,1276,balance_exceeds_principal
LN-73267596,266,interest_rate_out_of_range
LN-27716934,1183,status_dpd_mismatch
LN-44864264,167,missing_document_status
LN-14684804,1399,stale_record
LN-11995540,970,invalid_state_code
LN-17011497,1219,closed_but_positive_balance
(blank-row-1221),1221,missing_loan_id
LN-09008128,776,invalid_date_format
LN-73201968,1272,maturity_before_origination
LN-85501710,96,negative_principal
LN-55207055,136,balance_exceeds_principal
LN-01621567,599,interest_rate_out_of_range
LN-09779922,1317,status_dpd_mismatch
LN-06412207,649,missing_document_status
LN-47328363,1432,stale_record
LN-23490487,1165,invalid_state_code
LN-24201280,754,closed_but_positive_balance
(blank-row-1175),1175,missing_loan_id
LN-05365226,619,invalid_date_format
LN-73687817,1110,maturity_before_origination
LN-21929699,1299,negative_principal
LN-94400156,417,balance_exceeds_principal
LN-92184856,814,interest_rate_out_of_range
LN-91670073,51,status_dpd_mismatch
LN-06878856,1167,missing_document_status
LN-15485475,152,stale_record
LN-85913217,861,invalid_state_code
LN-39809047,1064,closed_but_positive_balance
(blank-row-27),27,missing_loan_id
LN-76146023,219,invalid_date_format
LN-65714590,168,maturity_before_origination
LN-47009528,696,negative_principal
LN-95460786,36,balance_exceeds_principal
LN-73923299,1278,interest_rate_out_of_range
LN-99486376,788,status_dpd_mismatch
LN-86128687,597,missing_document_status
LN-80172105,430,stale_record
LN-04016027,1246,invalid_state_code
LN-27911209,613,closed_but_positive_balance
(blank-row-745),745,missing_loan_id
LN-77262273,400,invalid_date_format
LN-74116919,1341,maturity_before_origination
LN-83174835,546,negative_principal
LN-88507387,1244,balance_exceeds_principal
LN-01049763,1009,interest_rate_out_of_range
LN-48663708,343,duplicate_loan_id
LN-65292054,200,duplicate_borrower_amount_origination_combo
(multiple),"[154, 6, 201, 165, 416, 520]",suspiciously_repeated_borrower
LN-09189269,550,conflicting_values_between_sources
LN-44425648,59,conflicting_values_between_sources
LN-71463282,315,conflicting_values_between_sources
LN-49019625,1048,conflicting_values_between_sources
LN-36351016,1128,conflicting_values_between_sources
LN-77983933,1450,conflicting_values_between_sources
LN-10667856,954,conflicting_values_between_sources
LN-94138576,846,conflicting_values_between_sources
LN-49247917,927,conflicting_values_between_sources
LN-23508590,976,conflicting_values_between_sources
LN-52017010,1152,conflicting_values_between_sources
LN-25871808,620,conflicting_values_between_sources
LN-52582043,470,conflicting_values_between_sources
LN-12974864,556,conflicting_values_between_sources
LN-52279549,1376,conflicting_values_between_sources
LN-08411982,484,conflicting_values_between_sources
LN-22990158,972,conflicting_values_between_sources
LN-74133637,1263,conflicting_values_between_sources
LN-37496962,777,conflicting_values_between_sources
LN-01995795,258,conflicting_values_between_sources
LN-28013007,740,conflicting_values_between_sources
LN-66070395,602,conflicting_values_between_sources
LN-62029030,711,conflicting_values_between_sources
LN-01467096,984,conflicting_values_between_sources
LN-27739465,428,conflicting_values_between_sources
LN-48495007,445,conflicting_values_between_sources
LN-41852232,1211,conflicting_values_between_sources
LN-54312883,665,conflicting_values_between_sources
LN-18915617,144,conflicting_values_between_sources
LN-94743421,791,conflicting_values_between_sources
LN-07294975,505,conflicting_values_between_sources
LN-87778598,1283,conflicting_values_between_sources
LN-14999685,1430,conflicting_values_between_sources
LN-14679471,33,conflicting_values_between_sources
LN-41636600,859,conflicting_values_between_sources
LN-94583655,924,conflicting_values_between_sources
LN-22585512,20,conflicting_values_between_sources
LN-75530797,683,conflicting_values_between_sources
LN-34311013,409,conflicting_values_between_sources
LN-66724354,1314,conflicting_values_between_sources
LN-02157876,177,conflicting_values_between_sources
LN-71772138,1086,conflicting_values_between_sources
LN-46881850,1361,conflicting_values_between_sources
LN-39845670,578,conflicting_values_between_sources
LN-27526875,993,conflicting_values_between_sources
LN-04271765,383,conflicting_values_between_sources
LN-68059612,833,conflicting_values_between_sources
LN-17442723,1107,conflicting_values_between_sources
LN-88885492,1226,conflicting_values_between_sources
LN-64932071,453,conflicting_values_between_sources
LN-44881081,224,conflicting_values_between_sources
LN-22698071,69,conflicting_values_between_sources
LN-35235529,1253,conflicting_values_between_sources
LN-09190347,1223,conflicting_values_between_sources
LN-46187763,466,conflicting_values_between_sources
LN-62589142,1159,conflicting_values_between_sources
LN-34094883,724,conflicting_values_between_sources
LN-16919540,314,conflicting_values_between_sources
LN-12778262,128,conflicting_values_between_sources
LN-07493681,936,conflicting_values_between_sources
LN-69792730,1457,conflicting_values_between_sources
LN-35491332,207,conflicting_values_between_sources
LN-29179669,879,conflicting_values_between_sources
LN-86197217,1143,conflicting_values_between_sources
LN-70278360,1433,conflicting_values_between_sources
LN-90210669,1274,conflicting_values_between_sources
LN-18692644,221,conflicting_values_between_sources
LN-86521479,937,conflicting_values_between_sources
LN-31269406,851,conflicting_values_between_sources
LN-25922276,843,conflicting_values_between_sources
LN-20557107,236,conflicting_values_between_sources
LN-84682031,1383,conflicting_values_between_sources
LN-25490213,786,conflicting_values_between_sources
LN-84858941,1479,conflicting_values_between_sources
LN-09549625,898,conflicting_values_between_sources
LN-51845789,925,conflicting_values_between_sources
LN-86215310,422,conflicting_values_between_sources
LN-05537536,1059,conflicting_values_between_sources
LN-87581448,647,conflicting_values_between_sources
LN-98110601,622,conflicting_values_between_sources
LN-42673817,800,conflicting_values_between_sources
LN-16057244,354,conflicting_values_between_sources
LN-56788012,349,conflicting_values_between_sources
LN-15346110,250,conflicting_values_between_sources
LN-18851844,1206,conflicting_values_between_sources
LN-81092064,502,conflicting_values_between_sources
LN-16134964,326,conflicting_values_between_sources
LN-83779376,1382,conflicting_values_between_sources
LN-94619152,771,conflicting_values_between_sources
LN-43927383,356,conflicting_values_between_sources
