loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN-80402501,BR-652580,fha,2022-08-02,2032-06-10,94256.13,67508.6,6.991,120,MI,refinance,B,6,75k-120k,current,0,Meridian Loan Servicing,2023-02-07,2026-06-15,partial,origination_sys_a
LN-58685702,BR-202126,va,31/02/2021,2040-09-22,424123.84,111943.66,4.313,240,MN,purchase,C,22,<40k,delinquent_30,38,Coastal Trust Servicing,2024-07-28,2025-07-11,complete,manual_spreadsheet
LN-68720322,BR-983639,jumbo,2023-02-02,2037-11-15,173139.42,108638.56,4.214,180,FL,purchase,C,23,120k+,closed,0,Coastal Trust Servicing,2025-04-29,2025-09-21,partial,origination_sys_a
LN-53542596,BR-187732,fha,2019-10-11,2049-05-06,131818.36,32803.55,5.769,360,WA,cash_out_refinance,C,16,40k-75k,closed,0,Coastal Trust Servicing,2020-12-19,2026-01-03,missing,origination_sys_b
LN-54139822,BR-507895,fha,2023-09-20,2038-07-03,167118.38,50447.33,4.142,180,NM,cash_out_refinance,B,8,120k+,current,0,Meridian Loan Servicing,2024-11-04,2025-06-01,missing,origination_sys_b
LN-52206298,BR-026219,jumbo,2021-03-28,2040-12-13,329717.05,168175.65,4.715,240,NM,refinance,B,3,<40k,current,0,Coastal Trust Servicing,2023-08-27,2025-01-15,partial,origination_sys_b
LN-78115114,BR-137955,conventional,2021-04-21,2050-11-15,572386.95,517411.75,8.345,360,WI,purchase,B,13,120k+,current,0,Highline Capital Servicing,2022-07-02,2025-12-24,partial,origination_sys_a
LN-67764120,BR-703049,fha,2019-12-04,2049-06-29,81228.57,50210.75,3.784,360,NC,purchase,B,2,<40k,delinquent_90,93,Coastal Trust Servicing,2022-07-24,2026-01-03,partial,origination_sys_a
LN-32632164,BR-990650,fha,2024-04-12,2039-01-24,409983.86,375635.24,6.029,180,FL,refinance,A,28,40k-75k,current,0,Highline Capital Servicing,2025-01-28,2026-02-23,complete,origination_sys_b
LN-91828712,BR-236852,conventional,2023-09-04,2043-05-22,428656.33,47517.37,3.961,240,NV,refinance,A,0,75k-120k,current,0,Meridian Loan Servicing,2025-02-21,2025-11-01,complete,manual_spreadsheet
LN-03540399,BR-036635,jumbo,2021-06-23,2051-01-17,399716.91,341720.86,8.369,360,WV,purchase,B,27,40k-75k,delinquent_90,84,Meridian Loan Servicing,2026-06-02,2026-03-07,partial,origination_sys_a
LN-17304193,BR-882632,conventional,2020-01-03,2039-09-20,525960.3,315599.22,8.334,240,LA,refinance,D,21,75k-120k,current,0,Meridian Loan Servicing,2021-04-19,2025-10-15,partial,origination_sys_a
LN-91810458,BR-697149,va,2022-04-04,2041-12-20,101806.6,45091.61,6.616,240,TX,purchase,C,16,75k-120k,current,0,Coastal Trust Servicing,2024-07-18,2026-04-07,,origination_sys_b
LN-54832763,BR-465797,conventional,2022-11-28,2042-08-15,396015.11,311638.52,4.919,240,TX,cash_out_refinance,C,2,40k-75k,current,0,Coastal Trust Servicing,2024-08-24,2026-04-12,complete,origination_sys_a
LN-85733168,BR-887286,jumbo,2019-10-29,2029-09-06,106341.82,12086.21,3.751,120,KS,purchase,D,4,120k+,current,0,Coastal Trust Servicing,2025-10-12,2025-12-30,missing,manual_spreadsheet
LN-87422675,BR-620223,conventional,2020-10-11,2050-05-07,429211.82,145338.48,4.192,360,IA,refinance,B,22,40k-75k,current,0,Meridian Loan Servicing,2025-06-06,2026-01-15,partial,origination_sys_b
LN-08549238,BR-857784,va,2022-01-16,2051-08-12,-38039.42,245411.75,5.679,360,AK,refinance,C,21,120k+,current,0,Coastal Trust Servicing,2022-12-20,2026-05-23,partial,origination_sys_a
LN-81234382,BR-948470,va,2022-06-28,2032-05-06,596949.45,266771.42,4.621,120,CA,cash_out_refinance,A,24,<40k,current,0,Meridian Loan Servicing,2023-08-10,2025-08-09,complete,manual_spreadsheet
LN-71671891,BR-036937,conventional,2019-11-09,2034-08-22,151945.96,57885.33,6.46,180,SD,purchase,A,22,75k-120k,current,0,Coastal Trust Servicing,2021-03-18,2025-10-10,missing,origination_sys_a
LN-44384115,BR-669748,va,2020-12-12,2050-07-08,457067.16,407423.62,5.112,360,KS,purchase,C,28,120k+,current,0,Meridian Loan Servicing,2026-02-27,2026-07-27,missing,manual_spreadsheet
LN-22585512,BR-452474,conventional,2022-09-30,2052-04-25,271746.07,143981.79,3.965,360,IA,refinance,B,9,75k-120k,current,0,Highline Capital Servicing,2025-11-06,2026-07-14,missing,origination_sys_b
LN-15712479,BR-521121,conventional,2021-05-21,2041-02-05,280532.0,158308.84,7.04,240,FL,refinance,A,1,75k-120k,current,0,Coastal Trust Servicing,2022-02-03,2025-11-09,missing,origination_sys_b
LN-10456189,BR-025456,jumbo,2019-07-30,2029-06-07,407216.61,224381.48,5.753,120,NH,refinance,D,9,<40k,current,0,Coastal Trust Servicing,2020-09-08,2026-01-31,complete,manual_spreadsheet
LN-45227746,BR-976694,fha,2020-03-08,2039-11-24,456444.04,372687.23,6.738,240,LA,purchase,A,1,40k-75k,current,0,Highline Capital Servicing,2026-07-26,2025-12-27,partial,origination_sys_b
LN-00432098,BR-599620,fha,2019-09-12,2049-04-07,472546.45,167860.96,5.853,360,TN,refinance,C,5,120k+,delinquent_90,106,Coastal Trust Servicing,2025-03-18,2026-01-11,complete,origination_sys_b
LN-29854339,BR-459654,fha,2020-12-13,2050-07-09,269985.78,102698.95,6.092,360,SC,refinance,D,24,<40k,delinquent_60,58,Meridian Loan Servicing,2023-12-11,2026-02-09,missing,origination_sys_a
LN-15509941,BR-847528,jumbo,2024-03-14,2043-11-30,329726.17,117543.25,4.719,240,OK,purchase,D,6,40k-75k,current,0,Meridian Loan Servicing,2024-12-21,2026-05-30,partial,origination_sys_b
