loan_id,current_balance,payment_status,days_past_due,servicer_name,last_updated_at
LN-09189269,350774.79,closed,61,Coastal Trust Servicing,2026-05-10
LN-44425648,54983.33,closed,7,Coastal Trust Servicing,2025-08-22
LN-71463282,28625.48,delinquent_30,79,Meridian Loan Servicing,2026-04-26
LN-49019625,434743.45,delinquent_30,49,Highline Capital Servicing,2026-07-02
LN-36351016,200137.37,delinquent_30,92,Highline Capital Servicing,2025-08-14
LN-77983933,279747.1,delinquent_60,107,Highline Capital Servicing,2026-02-20
LN-10667856,258954.86,delinquent_30,13,Highline Capital Servicing,2025-12-03
LN-94138576,35630.84,delinquent_90,17,Coastal Trust Servicing,2025-12-08
LN-49247917,20589.99,delinquent_30,7,Meridian Loan Servicing,2025-10-22
LN-23508590,282824.62,delinquent_30,2,Meridian Loan Servicing,2025-07-30
LN-52017010,64344.48,current,36,Highline Capital Servicing,2025-11-02
LN-25871808,115507.47,delinquent_30,10,Highline Capital Servicing,2025-10-06
LN-52582043,292746.84,delinquent_90,64,Coastal Trust Servicing,2026-05-13
LN-12974864,491269.18,delinquent_60,42,Coastal Trust Servicing,2026-04-12
LN-52279549,384883.65,delinquent_30,114,Highline Capital Servicing,2026-01-29
LN-08411982,181152.38,delinquent_30,54,Meridian Loan Servicing,2026-06-15
LN-22990158,381080.14,delinquent_90,51,Coastal Trust Servicing,2026-04-30
LN-74133637,28770.47,closed,94,Coastal Trust Servicing,2026-01-17
LN-37496962,77083.57,delinquent_60,51,Coastal Trust Servicing,2026-03-30
LN-01995795,183323.33,delinquent_60,9,Meridian Loan Servicing,2025-09-17
LN-28013007,391961.0,delinquent_90,88,Highline Capital Servicing,2026-07-08
LN-66070395,474953.45,closed,48,Highline Capital Servicing,2025-08-25
LN-62029030,533738.83,delinquent_90,24,Meridian Loan Servicing,2026-03-17
LN-01467096,143714.5,current,5,Highline Capital Servicing,2025-07-28
LN-27739465,579122.77,closed,110,Highline Capital Servicing,2026-02-11
LN-48495007,384616.01,delinquent_60,81,Meridian Loan Servicing,2025-08-05
LN-41852232,56388.89,current,18,Highline Capital Servicing,2026-07-23
LN-54312883,287444.8,current,93,Highline Capital Servicing,2025-08-12
LN-18915617,120277.38,delinquent_60,119,Coastal Trust Servicing,2026-06-07
LN-94743421,70821.39,delinquent_30,26,Coastal Trust Servicing,2025-07-14
LN-07294975,83232.33,delinquent_30,27,Meridian Loan Servicing,2025-12-26
